id;name;desc_string;org_info;cancellation_way;cancellation_reason;cancellation_time;cancellation_proof;remarks
1;Auto Loan Account Operations;Credit Card Account Chips;capacitor users;Rustic Cotton Shirt program;Research;2020-05-11;Greece payment HTTP;red Architect
2;Rupiah aggregate neural;strategize bleeding-edge;Papua New Guinea;Cotton payment;Tools Cambridgeshire;2020-05-11;hacking gold Pizza;North Carolina front-end Alabama
3;CSS;systems architectures Fish;Savings Account Quality;strategic extranet Brand;Principal;2020-05-12;back-end Phased;Checking Account USB
4;infrastructure;Toys XML;white regional Bedfordshire;primary Buckinghamshire JSON;neural orange Investment Account;2020-05-11;collaborative Integration;e-business Nebraska
5;reboot;Kids Beauty Licensed Soft Mouse;hybrid expedite;Computers;Alabama Granite;2020-05-11;withdrawal Avon;Avon overriding Technician
6;Hat;Computers;Fantastic Rubber Salad;Administrator;Lead invoice;2020-05-11;compelling Product scalable;Alabama Rustic Granite Ball
7;solution software foreground;deposit;Guyana Fresh;Extended Global open architecture;rich RSS;2020-05-12;Somalia quantifying;Credit Card Account functionalities Plastic
8;Bedfordshire Investment Account;navigating;North Dakota auxiliary incubate;Manager;Mouse;2020-05-12;program Licensed monitor;Credit Card Account infomediaries ubiquitous
9;Corporate payment Administrator;Decentralized circuit Avon;Bulgaria Small;Architect parsing;protocol Avon;2020-05-11;Outdoors;Corporate
10;protocol Directives Handmade Plastic Bike;Berkshire Iceland Krona;leading-edge;driver;Cambridgeshire;2020-05-11;synthesize Florida Borders;Refined Fresh Ball ivory
